"merchant_name,merchant_id,allowed_devices,active_state,last_seen,merchant_type,regdate"
"Nairobi Supermart,MCH0001,5,ACTIVE,2026-08-03 14:45:12,Retail,2026-01-15 09:30:00"
"Green Valley Pharmacy,MCH0002,3,ACTIVE,2026-08-03 13:20:44,Pharmacy,2026-02-02 10:15:00"
"QuickFuel Station,MCH0003,8,ACTIVE,2026-08-03 14:58:30,Fuel Station,2026-01-28 08:45:00"
"Sunrise Electronics,MCH0004,4,INACTIVE,2026-07-30 17:12:18,Electronics,2026-03-11 11:20:00"
"BlueWave Hardware,MCH0005,6,ACTIVE,2026-08-03 12:41:09,Hardware,2026-04-05 14:10:00"
"Elite Fashion House,MCH0006,2,ACTIVE,2026-08-03 14:10:55,Fashion,2026-02-19 09:00:00"
"Fresh Harvest Grocers,MCH0007,5,SUSPENDED,2026-07-28 16:33:47,Grocery,2026-05-08 15:45:00"
"Metro Book Centre,MCH0008,3,ACTIVE,2026-08-03 11:56:20,Bookstore,2026-03-25 10:40:00"
"Prime Auto Parts,MCH0009,7,ACTIVE,2026-08-03 14:27:36,Automotive,2026-01-10 13:25:00"
"Ocean View Restaurant,MCH0010,4,ACTIVE,2026-08-03 14:51:03,Restaurant,2026-06-14 12:05:00"
